Date,BKNG,PDD,DDOG,SNPS,SMCI,WDAY,NVDA,MU,MELI,MDB
2024-07-11 11:30:00-04:00,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
2024-07-11 12:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11 13:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11 14:30:00-04:00,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2024-07-11 15:30:00-04:00,0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,-0.14285714285714285,0.0,-0.14285714285714285
2024-07-12 09:30:00-04:00,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
2024-07-12 10:30:00-04:00,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
2024-07-12 11:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12 13:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
2024-07-12 14:30:00-04:00,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2024-07-12 15:30:00-04:00,0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,-0.1111111111111111,0.1111111111111111,0.1111111111111111
2024-07-15 09:30:00-04:00,0.0,0.125,0.125,0.125,0.125,0.125,0.125,-0.125,0.125,0.0
2024-07-15 10:30:00-04:00,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2024-07-15 11:30:00-04:00,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0
2024-07-15 12:30:00-04:00,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2024-07-15 13:30:00-04:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-07-15 14:30:00-04:00,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15 15:30:00-04:00,0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.0,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0
2024-07-16 09:30:00-04:00,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0
2024-07-16 10:30:00-04:00,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2024-07-16 13:30:00-04:00,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0
2024-07-16 14:30:00-04:00,-0.25,0.0,-0.25,0.0,0.0,0.0,0.0,-0.25,0.0,-0.25
2024-07-16 15:30:00-04:00,-0.125,-0.125,0.125,0.125,0.0,0.125,0.0,-0.125,-0.125,0.125
2024-07-17 09:30:00-04:00,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0
2024-07-17 10:30:00-04:00,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.125
2024-07-17 11:30:00-04:00,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
2024-07-17 12:30:00-04:00,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2024-07-17 13:30:00-04:00,-0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
2024-07-17 14:30:00-04:00,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
2024-07-17 15:30:00-04:00,0.1,-0.1,0.1,0.1,-0.1,0.1,0.1,0.1,-0.1,0.1
2024-07-18 09:30:00-04:00,0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-07-18 10:30:00-04:00,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0
2024-07-18 11:30:00-04:00,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
2024-07-18 12:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2024-07-18 13:30:00-04:00,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333
2024-07-18 14:30:00-04:00,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18 15:30:00-04:00,0.125,-0.125,0.125,0.125,0.0,-0.125,0.0,0.125,-0.125,0.125
2024-07-19 09:30:00-04:00,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0
2024-07-19 10:30:00-04:00,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
2024-07-19 11:30:00-04:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-07-19 12:30:00-04:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19 13:30:00-04:00,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19 14:30:00-04:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19 15:30:00-04:00,0.125,0.0,0.125,0.125,-0.125,0.125,0.0,-0.125,-0.125,0.125
2024-07-22 09:30:00-04:00,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-07-22 10:30:00-04:00,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125
2024-07-22 13:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22 14:30:00-04:00,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2024-07-22 15:30:00-04:00,0.125,-0.125,-0.125,0.125,0.0,-0.125,0.0,-0.125,-0.125,0.125
2024-07-23 09:30:00-04:00,0.125,-0.125,0.125,0.125,0.125,0.0,0.125,-0.125,0.0,0.125
2024-07-23 10:30:00-04:00,0.25,-0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2024-07-23 12:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23 13:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23 14:30:00-04:00,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23 15:30:00-04:00,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,-0.16666666666666666,0.0
2024-07-24 09:30:00-04:00,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,-0.125,0.0
2024-07-24 10:30:00-04:00,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
2024-07-24 11:30:00-04:00,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2024-07-24 12:30:00-04:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24 13:30:00-04:00,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2024-07-24 14:30:00-04:00,0.2,0.0,0.0,-0.2,0.0,0.0,0.2,-0.2,-0.2,0.0
2024-07-24 15:30:00-04:00,0.1,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-07-25 09:30:00-04:00,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-07-25 10:30:00-04:00,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
2024-07-25 11:30:00-04:00,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0
2024-07-25 12:30:00-04:00,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
2024-07-25 13:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-07-25 14:30:00-04:00,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
