feature,importance
momentum_30d,0.7656603135307334
momentum_90d,0.07908271836675686
sharpe_30d,0.055010976726996876
momentum_60d,0.0464895655208154
sharpe_60d,0.008145014678045633
sharpe_90d,0.007379472074429331
volatility_30d,0.007350903767397183
volatility_90d,0.006620190550895737
liquidity_90d,0.00626215210098019
liquidity_60d,0.005975006672257573
liquidity_30d,0.005468411840763311
volatility_60d,0.004794545393219694
market_encoded,0.0017607287767086874
