Ticker
SMCI
NVDA
META
RR.L
CRWD
MDB
TSLA
AMD
PANW
ZS
DASH
AVGO
LRCX
INTC
TEAM
MELI
MKS.L
DDOG
AMZN
ADBE
PDD
BKNG
WDAY
MRVL
TTD
AMAT
CDNS
MU
SNPS
