Date_str,Date,Mkt-RF,SMB,HML,RF
19260701,1926-07-01,0.1,-0.25,-0.27,0.009
19260702,1926-07-02,0.45,-0.33,-0.06,0.009
19260706,1926-07-06,0.17,0.3,-0.39,0.009
19260707,1926-07-07,0.09,-0.58,0.02,0.009
19260708,1926-07-08,0.21,-0.38,0.19,0.009
19260709,1926-07-09,-0.71,0.43,0.57,0.009
19260710,1926-07-10,0.62,-0.53,-0.1,0.009
19260712,1926-07-12,0.04,-0.03,0.64,0.009
19260713,1926-07-13,0.48,-0.28,-0.2,0.009
19260714,1926-07-14,0.04,0.07,-0.43,0.009
19260715,1926-07-15,-0.43,0.49,-0.22,0.009
19260716,1926-07-16,0.53,-0.07,-0.44,0.009
19260717,1926-07-17,0.34,0.43,-0.62,0.009
19260719,1926-07-19,-0.01,-0.04,-0.42,0.009
19260720,1926-07-20,-0.57,-0.25,0.19,0.009
19260721,1926-07-21,-0.6,0.18,0.36,0.009
19260722,1926-07-22,-0.73,-0.27,-0.23,0.009
19260723,1926-07-23,-0.02,0.09,0.04,0.009
19260724,1926-07-24,-0.14,0.44,-0.05,0.009
19260726,1926-07-26,0.53,-0.39,-0.22,0.009
19260727,1926-07-27,0.43,-0.41,0.2,0.009
19260728,1926-07-28,1.09,0.02,-0.25,0.009
19260729,1926-07-29,0.36,-0.6,-1.04,0.009
19260730,1926-07-30,0.14,-0.46,0.53,0.009
19260731,1926-07-31,0.46,-0.12,-0.17,0.009
19260802,1926-08-02,0.84,-0.26,0.03,0.01
19260803,1926-08-03,0.47,-0.25,-0.63,0.01
19260804,1926-08-04,-0.36,0.11,0.33,0.01
19260805,1926-08-05,-0.09,0.01,0.72,0.01
19260806,1926-08-06,0.68,0.07,0.17,0.01
19260807,1926-08-07,0.46,0.15,-0.35,0.01
19260809,1926-08-09,0.21,-0.07,-0.22,0.01
19260810,1926-08-10,-1.4,0.34,0.21,0.01
19260811,1926-08-11,-0.57,0.21,0.34,0.01
19260812,1926-08-12,0.84,-0.76,0.4,0.01
19260813,1926-08-13,0.58,-0.85,0.26,0.01
19260814,1926-08-14,0.69,0.2,-0.44,0.01
19260816,1926-08-16,0.07,0.25,0.67,0.01
19260817,1926-08-17,-0.95,0.33,0.17,0.01
19260818,1926-08-18,0.26,0.11,0,0.01
19260819,1926-08-19,-0.6,0.14,0.07,0.01
19260820,1926-08-20,-0.2,-0.35,0.41,0.01
19260821,1926-08-21,0.32,-0.08,0.54,0.01
19260823,1926-08-23,0.49,-0.39,0.48,0.01
19260824,1926-08-24,-0.84,0.48,-0.07,0.01
19260825,1926-08-25,-0.32,-0.4,0.23,0.01
19260826,1926-08-26,0.53,0.1,0.48,0.01
19260827,1926-08-27,0.35,0.15,-0.42,0.01
19260828,1926-08-28,0.34,0.13,-0.04,0.01
19260830,1926-08-30,0.3,0.01,0.4,0.01
19260831,1926-08-31,0.58,-0.52,-0.04,0.01
19260901,1926-09-01,0.55,0.54,-0.11,0.009
19260902,1926-09-02,-0.06,-0.15,0.34,0.009
19260903,1926-09-03,0.5,-0.28,0,0.009
19260907,1926-09-07,0.59,-0.26,-0.23,0.009
19260908,1926-09-08,-0.51,-0.09,0.05,0.009
19260909,1926-09-09,-0.07,0.19,0.22,0.009
19260910,1926-09-10,-0.83,0.08,-0.1,0.009
19260911,1926-09-11,-0.44,0.32,0.13,0.009
19260913,1926-09-13,-0.03,-0.1,0.48,0.009
19260914,1926-09-14,0.9,-0.64,0.13,0.009
19260915,1926-09-15,-0.21,0.38,-0.15,0.009
19260916,1926-09-16,-0.18,-0.3,0.05,0.009
19260917,1926-09-17,-1.01,-0.21,-0.21,0.009
19260918,1926-09-18,0.7,-0.25,-0.17,0.009
19260920,1926-09-20,-0.64,0.04,-0.02,0.009
19260921,1926-09-21,0.3,-0.39,0.15,0.009
19260922,1926-09-22,-0.13,0.01,0.06,0.009
19260923,1926-09-23,0.26,-0.14,0.03,0.009
19260924,1926-09-24,0.62,-0.16,-0.09,0.009
19260925,1926-09-25,0.21,0.03,-0.59,0.009
19260927,1926-09-27,-0.12,0.12,0.43,0.009
19260928,1926-09-28,0,-0.03,-0.33,0.009
19260929,1926-09-29,-0.3,0.14,-0.06,0.009
19260930,1926-09-30,0.3,-0.22,0.05,0.009
19261001,1926-10-01,0.73,-0.26,-0.23,0.013
19261002,1926-10-02,-0.1,-0.03,-0.05,0.013
19261004,1926-10-04,-1.4,-0.17,0.01,0.013
19261005,1926-10-05,-1.1,0.42,-0.67,0.013
19261006,1926-10-06,-0.56,-0.74,-0.22,0.013
19261007,1926-10-07,-0.77,0.36,0.25,0.013
19261008,1926-10-08,0.59,-0.32,0.51,0.013
19261009,1926-10-09,-0.96,0.45,-0.07,0.013
19261011,1926-10-11,-0.69,-0.13,-0.07,0.013
19261013,1926-10-13,0.69,-0.35,0.02,0.013
19261014,1926-10-14,0.97,-0.47,1.08,0.013
19261015,1926-10-15,-1.83,0.07,-0.18,0.013
19261016,1926-10-16,-0.73,-0.31,0.37,0.013
19261018,1926-10-18,0.7,-0.11,0.39,0.013
19261019,1926-10-19,-1.06,0.37,-0.5,0.013
19261020,1926-10-20,-0.25,-0.57,-1.2,0.013
19261021,1926-10-21,1.53,-0.11,0.55,0.013
19261022,1926-10-22,-0.4,0.4,0.27,0.013
19261023,1926-10-23,0.54,0.51,0.19,0.013
19261025,1926-10-25,-0.1,0.36,-0.05,0.013
19261026,1926-10-26,0.32,0.06,0.23,0.013
19261027,1926-10-27,1,-0.41,0.1,0.013
19261028,1926-10-28,-0.08,0.66,0.25,0.013
19261029,1926-10-29,-0.06,-0.02,-0.28,0.013
19261030,1926-10-30,-0.25,0.21,0.22,0.013
19261101,1926-11-01,0.46,-0.13,-0.4,0.013
19261103,1926-11-03,0.2,-0.2,-0.33,0.013
19261104,1926-11-04,0.59,-0.12,0.65,0.013
19261105,1926-11-05,0.07,-0.11,0.26,0.013
19261106,1926-11-06,0.16,-0.29,0.05,0.013
19261108,1926-11-08,0.52,-0.12,0.18,0.013
19261109,1926-11-09,0.13,0.32,-0.54,0.013
19261110,1926-11-10,-0.6,0.14,0.11,0.013
19261111,1926-11-11,0.67,0.06,0.05,0.013
19261112,1926-11-12,0.24,-0.01,-0.39,0.013
19261113,1926-11-13,-0.24,0.13,-0.18,0.013
19261115,1926-11-15,0.37,0.24,-0.18,0.013
19261116,1926-11-16,0.15,-0.29,-0.09,0.013
19261117,1926-11-17,-0.35,-0.33,0.43,0.013
19261118,1926-11-18,-0.48,0.16,0.22,0.013
19261119,1926-11-19,-0.64,0.59,0.02,0.013
19261120,1926-11-20,0.4,0.01,0.11,0.013
19261122,1926-11-22,0.57,0.16,-0.2,0.013
19261123,1926-11-23,0.33,0.05,0.14,0.013
19261124,1926-11-24,0.08,-0.25,0.25,0.013
19261126,1926-11-26,0.2,0.04,-0.05,0.013
19261127,1926-11-27,-0.15,-0.03,-0.3,0.013
19261129,1926-11-29,-0.37,-0.14,0.08,0.013
19261130,1926-11-30,0.26,0.02,-0.49,0.013
19261201,1926-12-01,0.36,0.06,-0.35,0.011
19261202,1926-12-02,0.51,0.01,0.08,0.011
19261203,1926-12-03,0.32,0.02,-0.04,0.011
19261204,1926-12-04,-0.17,0.18,0.12,0.011
19261206,1926-12-06,0.04,0.3,-0.34,0.011
19261207,1926-12-07,-0.04,0.34,-0.5,0.011
19261208,1926-12-08,-0.08,0.23,0.23,0.011
19261209,1926-12-09,0.45,-0.14,0.44,0.011
19261210,1926-12-10,0.35,-0.15,0.49,0.011
19261211,1926-12-11,0.09,-0.13,-0.45,0.011
19261213,1926-12-13,0.42,0.62,0.02,0.011
19261214,1926-12-14,0.1,-0.07,0.12,0.011
19261215,1926-12-15,0.17,-0.2,0.19,0.011
19261216,1926-12-16,-0.63,-0.19,0.03,0.011
19261217,1926-12-17,0.91,-0.73,0.64,0.011
19261218,1926-12-18,0.42,-0.23,0.22,0.011
19261220,1926-12-20,-0.31,0.06,-0.1,0.011
19261221,1926-12-21,-0.03,-0.39,-0.18,0.011
19261222,1926-12-22,0.02,-0.24,-0.45,0.011
19261223,1926-12-23,0.28,0.04,-0.51,0.011
19261224,1926-12-24,0.31,0.21,0.26,0.011
19261227,1926-12-27,-0.22,-0.19,-0.33,0.011
19261228,1926-12-28,-1.07,-0.03,-0.22,0.011
19261229,1926-12-29,0.44,-0.18,-0.02,0.011
19261230,1926-12-30,-0.35,0.46,0.07,0.011
19261231,1926-12-31,0.33,0.31,0.65,0.011
19270103,1927-01-03,-0.79,0.19,0.09,0.01
19270104,1927-01-04,0.31,0.14,-0.66,0.01
19270105,1927-01-05,0.14,0.46,-0.36,0.01
19270106,1927-01-06,-0.17,-0.05,0.15,0.01
19270107,1927-01-07,0.3,-0.23,0.41,0.01
19270108,1927-01-08,0.39,-0.14,0.21,0.01
19270110,1927-01-10,0.14,0.09,0.05,0.01
19270111,1927-01-11,-0.28,-0.33,0.83,0.01
19270112,1927-01-12,0.07,-0.1,0.09,0.01
19270113,1927-01-13,-0.04,0.18,-0.28,0.01
19270114,1927-01-14,0.05,-0.81,0.85,0.01
19270115,1927-01-15,0.13,0.1,0.84,0.01
19270117,1927-01-17,-0.04,-0.11,0.65,0.01
19270118,1927-01-18,-0.06,-0.24,0.04,0.01
19270119,1927-01-19,0.61,-0.04,-0.72,0.01
19270120,1927-01-20,-0.17,-0.27,0.07,0.01
19270121,1927-01-21,-0.01,0.63,1.25,0.01
19270122,1927-01-22,-0.36,0.24,0.37,0.01
19270124,1927-01-24,-0.48,0.44,1.49,0.01
19270125,1927-01-25,-1.07,-0.52,-1.22,0.01
19270126,1927-01-26,0.19,0.14,0.45,0.01
19270127,1927-01-27,-0.35,-0.01,-0.4,0.01
19270128,1927-01-28,0.16,0.17,0.74,0.01
19270129,1927-01-29,0.73,-0.38,-0.33,0.01
19270131,1927-01-31,0.61,0.14,-0.06,0.01
19270201,1927-02-01,-0.01,0.58,1.04,0.012
19270202,1927-02-02,0.7,-0.19,0.07,0.012
19270203,1927-02-03,0.17,0.23,-0.09,0.012
19270204,1927-02-04,0.37,0.18,1.28,0.012
19270205,1927-02-05,-0.18,0.3,0.47,0.012
19270207,1927-02-07,-0.13,0.62,0.5,0.012
19270208,1927-02-08,0.1,0.28,0.89,0.012
19270209,1927-02-09,0.04,-0.88,-0.56,0.012
19270210,1927-02-10,0.08,0.25,-0.65,0.012
19270211,1927-02-11,0.31,-0.54,-0.46,0.012
19270214,1927-02-14,0.49,-0.06,-0.4,0.012
19270215,1927-02-15,0.1,-0.27,-0.17,0.012
19270216,1927-02-16,-0.02,0.03,1.5,0.012
19270217,1927-02-17,0.24,0.1,0.81,0.012
19270218,1927-02-18,0.32,-0.73,-0.12,0.012
19270219,1927-02-19,0.01,0.35,-0.42,0.012
19270221,1927-02-21,-0.17,0.17,-0.86,0.012
19270223,1927-02-23,0.72,-0.34,-0.12,0.012
19270224,1927-02-24,0.14,0.31,0.15,0.012
19270225,1927-02-25,0.21,0.26,-0.37,0.012
19270226,1927-02-26,0.07,-0.18,-0.06,0.012
19270228,1927-02-28,0.55,-0.37,0.23,0.012
19270301,1927-03-01,-0.4,-0.05,-0.51,0.011
19270302,1927-03-02,-1.14,-0.16,-0.29,0.011
19270303,1927-03-03,1.02,-0.03,0.02,0.011
19270304,1927-03-04,-0.45,0.21,-0.15,0.011
19270305,1927-03-05,-0.24,0.58,-0.43,0.011
19270307,1927-03-07,-0.37,-0.09,-0.59,0.011
19270308,1927-03-08,0.12,-0.57,-0.28,0.011
19270309,1927-03-09,0.49,0.21,0.28,0.011
19270310,1927-03-10,0.46,0.12,0.42,0.011
19270311,1927-03-11,0.17,-0.26,0.25,0.011
19270312,1927-03-12,-0.04,-0.06,-0.19,0.011
19270314,1927-03-14,0.18,0.08,-0.84,0.011
19270315,1927-03-15,-0.81,-0.15,-0.36,0.011
19270316,1927-03-16,1.02,-0.46,-0.13,0.011
19270317,1927-03-17,0.42,-0.34,-0.36,0.011
19270318,1927-03-18,-0.79,0.04,-0.31,0.011
19270319,1927-03-19,0.04,0,-0.2,0.011
19270321,1927-03-21,0.17,-0.55,0.07,0.011
19270322,1927-03-22,-1.06,0.15,-0.5,0.011
19270323,1927-03-23,0.19,-0.01,0.52,0.011
19270324,1927-03-24,0.68,-0.03,0.04,0.011
19270325,1927-03-25,0.16,0.44,-0.32,0.011
19270326,1927-03-26,0.34,0.17,0.13,0.011
19270328,1927-03-28,0.52,-0.24,0.08,0.011
19270329,1927-03-29,-0.23,-0.11,-0.38,0.011
19270330,1927-03-30,-0.62,0.14,1.21,0.011
19270331,1927-03-31,0.3,-0.81,0.48,0.011
19270401,1927-04-01,-0.05,-0.19,-0.3,0.01
19270402,1927-04-02,-0.08,0.17,0.05,0.01
19270404,1927-04-04,0.53,-0.19,1.1,0.01
19270405,1927-04-05,0.59,-0.28,-0.01,0.01
19270406,1927-04-06,0.11,-0.09,-0.06,0.01
19270407,1927-04-07,0.24,-0.34,0.3,0.01
19270408,1927-04-08,0.31,0.34,-0.04,0.01
19270409,1927-04-09,0.03,-0.17,0.36,0.01
19270411,1927-04-11,0.19,0.01,-0.16,0.01
19270412,1927-04-12,-0.29,0.53,-0.07,0.01
19270413,1927-04-13,0.21,0.08,-1.06,0.01
19270414,1927-04-14,0.09,0.36,-0.18,0.01
19270416,1927-04-16,0.18,0.55,0.18,0.01
19270418,1927-04-18,-0.03,-0.18,0.78,0.01
19270419,1927-04-19,0.18,-0.07,0.31,0.01
19270420,1927-04-20,0.27,-0.34,0.9,0.01
19270421,1927-04-21,0.36,-0.25,-0.76,0.01
19270422,1927-04-22,0.07,-0.34,0.04,0.01
19270423,1927-04-23,-0.37,0.21,0.04,0.01
19270425,1927-04-25,-1.56,0.05,0.15,0.01
19270426,1927-04-26,0.58,0.06,-0.47,0.01
19270427,1927-04-27,-0.38,0.09,0.17,0.01
19270428,1927-04-28,-1.11,0.14,-0.28,0.01
19270429,1927-04-29,0.48,0.03,-0.24,0.01
19270430,1927-04-30,-0.01,0.21,-0.09,0.01
19270502,1927-05-02,0.27,0.22,0.47,0.012
19270503,1927-05-03,0.74,0.02,-0.65,0.012
19270504,1927-05-04,0.78,-0.15,0.12,0.012
19270505,1927-05-05,0.3,0.32,-0.31,0.012
19270506,1927-05-06,0.28,-0.12,0.85,0.012
19270507,1927-05-07,0.28,0.25,-0.44,0.012
19270509,1927-05-09,0.2,0.08,0.39,0.012
19270510,1927-05-10,-0.07,-0.11,0.12,0.012
19270511,1927-05-11,-0.14,-0.04,0.05,0.012
19270512,1927-05-12,-0.11,-0.33,0.37,0.012
19270513,1927-05-13,0.49,-0.09,-0.27,0.012
19270514,1927-05-14,0.02,0.29,0.03,0.012
19270516,1927-05-16,-0.72,0.52,-0.16,0.012
19270517,1927-05-17,0.47,0.05,0.26,0.012
19270518,1927-05-18,0.51,-0.57,0.02,0.012
19270519,1927-05-19,0.19,-0.39,-0.19,0.012
19270520,1927-05-20,0.43,-0.62,0.46,0.012
19270521,1927-05-21,0.22,0.2,0.06,0.012
19270523,1927-05-23,0.15,0.48,0.77,0.012
19270524,1927-05-24,-0.14,0.32,0.74,0.012
19270525,1927-05-25,0.16,0.71,0.43,0.012
19270526,1927-05-26,0.11,-0.04,0.49,0.012
19270527,1927-05-27,0.44,0.36,-0.02,0.012
19270528,1927-05-28,0.12,0.67,0.45,0.012
19270531,1927-05-31,0.25,-0.63,0.42,0.012
19270601,1927-06-01,0.32,-0.01,0.16,0.01
19270602,1927-06-02,0.08,-0.11,0.29,0.01
19270603,1927-06-03,-0.88,0.18,-0.66,0.01
19270604,1927-06-04,0.43,0.13,0.18,0.01
19270606,1927-06-06,0.51,0.21,1.16,0.01
19270607,1927-06-07,-0.29,0.55,-0.18,0.01
19270608,1927-06-08,0.28,-0.12,0.42,0.01
19270609,1927-06-09,0.02,0.2,-0.78,0.01
19270610,1927-06-10,-0.38,0.11,-0.32,0.01
19270611,1927-06-11,-0.11,-0.28,-0.22,0.01
19270614,1927-06-14,-1.51,-0.01,-0.64,0.01
19270615,1927-06-15,0.88,0.12,0.2,0.01
19270616,1927-06-16,0.62,-0.34,-0.21,0.01
19270617,1927-06-17,0.16,0.67,0.95,0.01
19270618,1927-06-18,-0.12,0.19,0.56,0.01
19270620,1927-06-20,-0.18,0.43,-0.56,0.01
19270621,1927-06-21,-0.35,-0.28,0.4,0.01
19270622,1927-06-22,-0.01,0.03,-0.59,0.01
19270623,1927-06-23,-0.86,-0.44,-0.81,0.01
19270624,1927-06-24,0.13,0.01,0.21,0.01
19270625,1927-06-25,-0.1,-0.11,0.12,0.01
19270627,1927-06-27,-1.22,-0.59,-0.58,0.01
19270628,1927-06-28,0.26,-0.02,-0.18,0.01
19270629,1927-06-29,0.03,0.08,-0.43,0.01
19270630,1927-06-30,-0.09,-0.06,-0.18,0.01
19270701,1927-07-01,0.65,0.02,-0.1,0.012
19270702,1927-07-02,0.55,0.28,0.16,0.012
19270705,1927-07-05,0.84,-0.42,0.15,0.012
19270706,1927-07-06,0.6,0.22,-0.05,0.012
19270707,1927-07-07,-0.25,0.14,-0.03,0.012
19270708,1927-07-08,-0.18,-0.4,0.13,0.012
19270709,1927-07-09,0.17,0.2,-0.11,0.012
19270711,1927-07-11,0.4,-0.52,0.31,0.012
19270712,1927-07-12,0.33,-0.4,0.49,0.012
19270713,1927-07-13,0.27,0.18,-0.12,0.012
19270714,1927-07-14,0.42,-0.04,-0.8,0.012
19270715,1927-07-15,0.26,0.01,-0.36,0.012
19270716,1927-07-16,0.16,0.12,0.16,0.012
19270718,1927-07-18,0.18,-0.15,0.05,0.012
19270719,1927-07-19,0.26,-0.16,0.39,0.012
19270720,1927-07-20,0.44,0.12,-0.75,0.012
19270721,1927-07-21,-0.04,0.12,-0.52,0.012
19270722,1927-07-22,-0.05,-0.09,-0.25,0.012
19270723,1927-07-23,0.17,0.16,0.17,0.012
19270725,1927-07-25,0.41,-0.36,0.04,0.012
19270726,1927-07-26,0.25,-0.27,-0.18,0.012
19270727,1927-07-27,0.07,-0.53,-0.06,0.012
19270728,1927-07-28,0.14,-0.27,-0.21,0.012
19270729,1927-07-29,0.47,-0.28,0.23,0.012
19270730,1927-07-30,0.47,-0.77,0.22,0.012
19270801,1927-08-01,0.54,-0.22,0.08,0.01
19270802,1927-08-02,0.62,-0.4,-0.28,0.01
19270803,1927-08-03,-0.65,0.45,-0.46,0.01
19270804,1927-08-04,0.93,-0.3,0.11,0.01
19270805,1927-08-05,-0.59,0.32,-0.41,0.01
19270806,1927-08-06,-0.11,0.09,-0.35,0.01
19270808,1927-08-08,-1.08,0.61,-0.53,0.01
19270809,1927-08-09,0.94,-0.16,0.47,0.01
19270810,1927-08-10,0.24,-0.06,-0.32,0.01
19270811,1927-08-11,-1.02,-0.4,-0.18,0.01
19270812,1927-08-12,-1.57,-0.39,-0.95,0.01
19270813,1927-08-13,0.89,-0.23,0.13,0.01
19270815,1927-08-15,1.26,-0.03,0.88,0.01
19270816,1927-08-16,0.62,0.04,0.08,0.01
19270817,1927-08-17,0.31,0.51,-0.15,0.01
19270818,1927-08-18,0.03,-0.24,0.02,0.01
19270819,1927-08-19,0.15,0.21,-0.29,0.01
19270820,1927-08-20,0.35,0.04,-0.35,0.01
19270822,1927-08-22,0.35,-0.19,0.14,0.01
19270823,1927-08-23,0.05,-0.02,0.11,0.01
19270824,1927-08-24,0.2,0.03,-0.23,0.01
19270825,1927-08-25,0.02,-0.16,-0.78,0.01
19270826,1927-08-26,0.22,-0.28,-0.04,0.01
19270827,1927-08-27,-0.11,0.32,-0.14,0.01
19270829,1927-08-29,-0.03,0.02,0.32,0.01
19270830,1927-08-30,-0.03,-0.3,-0.72,0.01
19270831,1927-08-31,-0.49,0.04,0.19,0.01
19270901,1927-09-01,0.8,-0.11,-0.38,0.008
19270902,1927-09-02,0.58,0,0.25,0.008
19270903,1927-09-03,0.5,-0.13,-0.33,0.008
19270906,1927-09-06,0.91,-0.64,0.24,0.008
19270907,1927-09-07,0.45,-0.36,0.26,0.008
19270908,1927-09-08,0.01,-0.09,0.17,0.008
19270909,1927-09-09,-0.63,-0.01,-0.59,0.008
19270910,1927-09-10,0.43,-0.08,0.24,0.008
19270912,1927-09-12,-0.36,0.39,-0.31,0.008
19270913,1927-09-13,1.29,-0.75,-0.24,0.008
19270914,1927-09-14,0.31,-0.2,-0.22,0.008
19270915,1927-09-15,0.24,-0.18,-0.01,0.008
19270916,1927-09-16,0.08,-0.35,0.11,0.008
19270917,1927-09-17,-0.29,0.23,-0.21,0.008
19270919,1927-09-19,-0.32,-0.32,-0.03,0.008
19270920,1927-09-20,0.55,0.09,0.41,0.008
19270921,1927-09-21,-0.15,0.22,-0.03,0.008
19270922,1927-09-22,-1.16,0.08,-0.44,0.008
19270923,1927-09-23,0.52,-0.08,0.15,0.008
19270924,1927-09-24,0.65,-0.34,-0.17,0.008
19270926,1927-09-26,-0.91,0.12,0.03,0.008
19270927,1927-09-27,0.22,-0.5,0.05,0.008
19270928,1927-09-28,-0.38,-0.06,0.48,0.008
19270929,1927-09-29,0.17,-0.12,0.01,0.008
19270930,1927-09-30,1.25,-0.31,0.02,0.008
19271001,1927-10-01,0.49,-0.06,0.23,0.01
19271003,1927-10-03,0.26,-0.24,0.58,0.01
19271004,1927-10-04,-0.4,0.29,-1.26,0.01
19271005,1927-10-05,-0.29,0.03,-0.21,0.01
19271006,1927-10-06,0.24,-0.07,0.57,0.01
19271007,1927-10-07,-0.74,0.51,-0.76,0.01
19271008,1927-10-08,-0.32,-0.13,0.21,0.01
19271010,1927-10-10,-0.51,-0.3,-0.38,0.01
19271011,1927-10-11,0.04,0.26,-0.11,0.01
19271013,1927-10-13,0.69,0,-0.87,0.01
19271014,1927-10-14,-0.01,0.68,-0.01,0.01
19271015,1927-10-15,0.02,0.4,0.1,0.01
19271017,1927-10-17,-1.26,0.02,-0.27,0.01
19271018,1927-10-18,0.34,-0.54,-0.1,0.01
19271019,1927-10-19,-0.81,0.2,0.44,0.01
19271020,1927-10-20,-1.02,-0.1,0.24,0.01
19271021,1927-10-21,-0.76,0.82,-0.81,0.01
19271022,1927-10-22,-0.69,-0.02,0.31,0.01
19271024,1927-10-24,0.37,-0.1,-0.44,0.01
19271025,1927-10-25,1.6,-0.21,-0.74,0.01
19271026,1927-10-26,0.05,0.67,0.09,0.01
19271027,1927-10-27,-0.41,0.35,-0.17,0.01
19271028,1927-10-28,-1.45,0.21,-0.98,0.01
19271029,1927-10-29,-0.5,-0.55,0.01,0.01
19271031,1927-10-31,0.76,-0.06,-0.32,0.01
19271101,1927-11-01,-0.01,0.09,0.15,0.009
19271102,1927-11-02,1,-0.53,-0.17,0.009
19271103,1927-11-03,1.12,-0.36,0.25,0.009
19271104,1927-11-04,-0.03,0.21,0.12,0.009
19271105,1927-11-05,0.55,0.02,-0.01,0.009
19271107,1927-11-07,0.69,0.34,-0.28,0.009
19271109,1927-11-09,-0.78,0.37,-0.43,0.009
19271110,1927-11-10,0.24,0.02,-0.41,0.009
19271111,1927-11-11,0.87,-0.36,-0.29,0.009
19271112,1927-11-12,0.34,0.17,-0.18,0.009
19271114,1927-11-14,0.51,0.32,0.11,0.009
19271115,1927-11-15,0.11,-0.14,0.68,0.009
19271116,1927-11-16,-0.04,0.41,0.11,0.009
19271117,1927-11-17,0.16,0.31,-0.06,0.009
19271118,1927-11-18,0.61,0.12,-0.06,0.009
19271119,1927-11-19,0.27,0.41,-0.02,0.009
19271121,1927-11-21,-0.52,0.12,0.42,0.009
19271122,1927-11-22,0.37,-0.11,-0.14,0.009
19271123,1927-11-23,0.28,0.18,0.09,0.009
19271125,1927-11-25,0.24,0.15,0.43,0.009
19271126,1927-11-26,-0.01,0.52,0,0.009
19271128,1927-11-28,-0.76,0.16,0.04,0.009
19271129,1927-11-29,0.65,0.34,-0.21,0.009
19271130,1927-11-30,0.48,-0.14,-0.25,0.009
19271201,1927-12-01,-0.48,-0.22,0.06,0.009
19271202,1927-12-02,0.26,-0.57,0.96,0.009
19271203,1927-12-03,0.36,-0.26,0.24,0.009
19271205,1927-12-05,-0.4,0.37,0.11,0.009
19271206,1927-12-06,-0.03,0.32,-0.25,0.009
19271207,1927-12-07,-0.5,-0.11,-0.53,0.009
19271208,1927-12-08,-0.86,0.28,-0.16,0.009
19271209,1927-12-09,1.13,0.02,-0.09,0.009
19271210,1927-12-10,0.06,0.49,-0.22,0.009
19271212,1927-12-12,0.58,0.8,-0.59,0.009
19271213,1927-12-13,0.38,-0.28,-0.31,0.009
19271214,1927-12-14,-0.37,0.04,-0.03,0.009
19271215,1927-12-15,0.52,0.19,0.22,0.009
19271216,1927-12-16,0.66,-0.26,-0.37,0.009
19271217,1927-12-17,0.05,-0.14,0.64,0.009
19271219,1927-12-19,0.32,0.22,-0.35,0.009
19271220,1927-12-20,0.01,-0.26,0.2,0.009
19271221,1927-12-21,-0.07,-0.1,0.27,0.009
19271222,1927-12-22,-0.06,-0.5,0.21,0.009
19271223,1927-12-23,0.2,-0.32,0.09,0.009
19271224,1927-12-24,0.14,-0.01,0.4,0.009
19271227,1927-12-27,0.01,0.25,-0.28,0.009
19271228,1927-12-28,-0.57,0.25,-0.21,0.009
19271229,1927-12-29,0.15,-0.09,-1.1,0.009
19271230,1927-12-30,0.43,0.71,-0.03,0.009
19271231,1927-12-31,0.32,0.18,0.02,0.009
19280103,1928-01-03,0.45,0.83,-0.12,0.01
19280104,1928-01-04,-0.14,0.52,-0.05,0.01
19280105,1928-01-05,-0.73,-0.1,0.26,0.01
19280106,1928-01-06,0.62,0.53,0.06,0.01
19280107,1928-01-07,0.11,-0.01,0.29,0.01
19280109,1928-01-09,-0.89,0.12,-0.04,0.01
19280110,1928-01-10,-0.83,-0.47,0.1,0.01
19280111,1928-01-11,0.12,0.38,0.29,0.01
19280112,1928-01-12,0.5,0.2,-0.11,0.01
19280113,1928-01-13,0.61,0.27,0.11,0.01
19280114,1928-01-14,-0.67,0.02,-0.01,0.01
19280116,1928-01-16,-0.89,-0.5,-0.38,0.01
19280117,1928-01-17,0.17,0.31,0.41,0.01
19280118,1928-01-18,-0.31,-0.34,-0.13,0.01
19280119,1928-01-19,0.57,0.23,-0.11,0.01
19280120,1928-01-20,0.57,0.14,-0.06,0.01
19280121,1928-01-21,0.21,0.43,-0.4,0.01
19280123,1928-01-23,0.61,0.16,-0.08,0.01
19280124,1928-01-24,0.27,0.46,-0.32,0.01
19280125,1928-01-25,-1.04,-0.31,-0.34,0.01
19280126,1928-01-26,0.52,0.77,-0.22,0.01
19280127,1928-01-27,0.27,-0.1,-0.12,0.01
19280128,1928-01-28,-0.5,0.46,0.16,0.01
19280130,1928-01-30,-0.42,-0.39,-0.28,0.01
19280131,1928-01-31,0.32,0.6,0.33,0.01
19280201,1928-02-01,-0.25,0.52,-0.65,0.014
19280202,1928-02-02,0.44,0.13,0.18,0.014
19280203,1928-02-03,-1.14,-0.47,-0.44,0.014
19280204,1928-02-04,0.05,-0.45,0.18,0.014
19280206,1928-02-06,0.2,0.33,0.06,0.014
19280207,1928-02-07,-0.28,-0.26,-0.67,0.014
19280208,1928-02-08,0.08,-0.03,-0.2,0.014
19280209,1928-02-09,0.46,-0.12,-0.12,0.014
19280210,1928-02-10,-0.09,-0.49,-0.11,0.014
19280211,1928-02-11,-0.02,0.1,0.54,0.014
19280214,1928-02-14,-0.38,0.58,-0.42,0.014
19280215,1928-02-15,-0.28,-0.53,-0.04,0.014
19280216,1928-02-16,-0.32,-0.62,0.08,0.014
19280217,1928-02-17,-1.66,-0.69,-0.57,0.014
19280218,1928-02-18,-0.47,-0.61,0.14,0.014
19280220,1928-02-20,-0.16,0.17,0.3,0.014
