Rank,Ticker
1,SMCI
2,NVDA
3,RR.L
4,META
5,CRWD
6,MDB
7,TSLA
8,AMD
9,ZS
10,PANW
11,DASH
12,TEAM
13,DDOG
14,AVGO
15,MKS.L
16,MELI
17,LRCX
18,INTC
19,AMZN
20,TTD
21,MRVL
22,ADBE
23,PDD
24,III.L
25,WDAY
26,CDNS
27,AMAT
28,ABNB
29,INTU
30,MSFT
