Stock,Weight
CRWD,0.03740477614772536
AMD,0.04077611341484654
DASH,0.042622042084201874
CDNS,0.07502249642101418
ADBE,0.09016079852778999
MSFT,0.09895764806062718
III.L,0.11319680580677549
CPRT,0.11736022425983955
BKNG,0.1769413772933084
AMZN,0.2075577179838716
